university,user_id,user_name,number_tweets,friends_count,followers_count,created_at
ucatolica_chile,365039954,facea_uc,1126,1000,1093,Tue Aug 30 19:19:44 +0000 2011
ucatolica_chile,7.01951642292326E+017,svrcofvgo,48,42,17,Tue Feb 23 02:08:07 +0000 2016
ucatolica_chile,1.1905965609309E+018,MElly13141766,0,8,0,Sat Nov 02 11:48:46 +0000 2019
ucatolica_chile,1.02398888975996E+018,whoccnm,3389,1367,1126,Mon Jul 30 17:49:10 +0000 2018
ucatolica_chile,4106859455,macadiazk,44,70,6,Tue Nov 03 20:02:47 +0000 2015
ucatolica_chile,9.81547669066789E+017,JournPractice,220,1875,1205,Wed Apr 04 15:02:55 +0000 2018
ucatolica_chile,2683351698,ValleJosias,38,1036,166,Sat Jul 26 21:34:14 +0000 2014
ucatolica_chile,9.77033654844174E+017,ElenaEsteve7,5,9,0,Fri Mar 23 04:05:50 +0000 2018
ucatolica_chile,8.92563232828912E+017,2811platform,120,719,118,Wed Aug 02 01:50:32 +0000 2017
ucatolica_chile,250450756,JJQuilantan,1072,283,146,Fri Feb 11 03:28:09 +0000 2011
ucatolica_chile,1.07579361831574E+018,Cristia73258596,3599,1021,139,Thu Dec 20 16:42:40 +0000 2018
ucatolica_chile,1.23239328918306E+018,Fmletelier,0,19,4,Tue Feb 25 19:54:33 +0000 2020
ucatolica_chile,1.22033930506494E+018,ServoPor,119,107,57,Thu Jan 23 13:35:48 +0000 2020
ucatolica_chile,1.23164664429227E+018,AngelaR05989881,0,137,13,Sun Feb 23 18:27:13 +0000 2020
ucatolica_chile,1393622521,ptjosefina,20,135,6,Wed May 01 02:25:48 +0000 2013
ucatolica_chile,236280046,HugoAlmarza,10915,1109,365,Mon Jan 10 06:33:59 +0000 2011
ucatolica_chile,1.22180510976571E+018,javierj82737081,17,75,2,Mon Jan 27 14:40:32 +0000 2020
ucatolica_chile,13686102,mariflorez,330,590,322,Tue Feb 19 19:28:09 +0000 2008
ucatolica_chile,7.54416047340519E+017,franacriv,14,29,2,Sat Jul 16 20:42:56 +0000 2016
ucatolica_chile,1.22994722903464E+018,gutorres8,300,1148,161,Wed Feb 19 01:54:38 +0000 2020
ucatolica_chile,954998293,Vinemonster83,1423,1085,283,Sun Nov 18 06:59:43 +0000 2012
ucatolica_chile,9.59188024742502E+017,SNFL_Sheehan,69,212,193,Thu Feb 01 22:13:40 +0000 2018
ucatolica_chile,1.23104183990347E+018,__marignam,0,13,1,Sat Feb 22 02:23:53 +0000 2020
ucatolica_chile,2750346915,clara_chahwan,1558,112,93,Sat Aug 23 04:36:19 +0000 2014
ucatolica_chile,2332147853,marielalinette_,3999,257,305,Sat Feb 08 16:46:11 +0000 2014
ucatolica_chile,7.70084337752674E+017,mattzach27,4578,1400,177,Mon Aug 29 02:23:08 +0000 2016
ucatolica_chile,8.66648749040427E+017,FerreiraCayuela,633,122,181,Mon May 22 13:35:38 +0000 2017
ucatolica_chile,1.22581164555058E+018,sunnyltc1,0,19,1,Fri Feb 07 16:00:54 +0000 2020
ucatolica_chile,140801695,gaby_mjj7,857,424,145,Thu May 06 11:57:51 +0000 2010
ucatolica_chile,1.22985270280236E+018,maxfreymo,2,15,2,Tue Feb 18 19:38:37 +0000 2020
ucatolica_chile,135504710,TeleducUC,484,796,679,Wed Apr 21 13:54:48 +0000 2010
ucatolica_chile,381687523,mjvaldes,1714,2318,627,Wed Sep 28 19:20:10 +0000 2011
